 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status,Gender,Age
3, Not Graduate, No,8100000,21600000,4,740, Approved,Female,41
0, Graduate, No,9300000,20300000,14,759, Approved,Female,31
4, Graduate, Yes,9200000,29400000,14,517, Rejected,Female,21
3, Not Graduate, Yes,3100000,6300000,18,895, Approved,Female,31
3, Not Graduate, Yes,7000000,15400000,20,315, Rejected,Female,45
4, Not Graduate, No,3900000,8800000,14,527, Rejected,Male,22
3, Graduate, No,5500000,19800000,14,853, Approved,Female,59
0, Graduate, No,6600000,13700000,20,747, Approved,Male,47
2, Not Graduate, No,9900000,31600000,16,892, Approved,Female,52
4, Graduate, Yes,6600000,20500000,8,856, Approved,Male,20
3, Graduate, No,8600000,23600000,4,324, Rejected,Male,41
5, Graduate, No,7900000,28600000,12,812, Approved,Male,54
5, Graduate, Yes,6800000,22600000,2,804, Approved,Male,34
4, Graduate, No,700000,1800000,8,874, Approved,Male,24
2, Not Graduate, Yes,3800000,10000000,12,516, Rejected,Male,22
5, Graduate, Yes,6900000,18300000,4,402, Rejected,Male,46
1, Graduate, Yes,3700000,12400000,12,330, Rejected,Female,75
1, Graduate, No,7900000,24000000,12,867, Approved,Male,31
4, Graduate, Yes,8800000,34200000,16,844, Approved,Female,34
5, Not Graduate, Yes,3300000,7800000,8,310, Rejected,Male,24
4, Not Graduate, No,5800000,14200000,20,535, Rejected,Female,20
1, Graduate, Yes,7400000,29500000,16,323, Rejected,Female,28
1, Graduate, No,8200000,25600000,4,686, Approved,Male,38
0, Not Graduate, Yes,3300000,9600000,8,465, Rejected,Female,23
4, Graduate, Yes,5300000,10700000,12,547, Rejected,Female,36
1, Not Graduate, No,5700000,19100000,12,649, Approved,Female,52
2, Not Graduate, No,9000000,31000000,14,670, Approved,Male,28
3, Graduate, No,5900000,14400000,10,408, Rejected,Male,31
2, Not Graduate, No,5400000,11900000,6,303, Rejected,Female,62
0, Graduate, No,9800000,34800000,14,497, Rejected,Male,25
4, Graduate, Yes,9800000,34100000,14,740, Approved,Female,45
4, Not Graduate, Yes,3800000,8200000,4,309, Rejected,Male,23
0, Not Graduate, No,9500000,24400000,14,769, Approved,Female,44
3, Graduate, Yes,2500000,7100000,6,420, Rejected,Male,57
1, Graduate, No,1900000,6000000,20,540, Rejected,Male,23
5, Graduate, Yes,4400000,10600000,20,806, Approved,Female,39
4, Graduate, Yes,1400000,2900000,6,723, Approved,Male,37
5, Not Graduate, Yes,3200000,11800000,16,565, Approved,Male,69
1, Graduate, Yes,3100000,9200000,16,374, Rejected,Female,48
4, Graduate, No,4500000,9900000,10,509, Rejected,Female,43
3, Not Graduate, Yes,9300000,23500000,16,728, Approved,Female,49
2, Graduate, No,6900000,18200000,20,396, Rejected,Female,37
0, Not Graduate, Yes,3900000,8600000,2,667, Approved,Female,40
5, Not Graduate, No,3200000,7400000,12,583, Approved,Male,44
1, Not Graduate, Yes,5600000,21100000,10,459, Rejected,Male,26
4, Not Graduate, Yes,3700000,11900000,18,635, Approved,Female,47
3, Not Graduate, No,8400000,27200000,12,604, Approved,Female,29
0, Not Graduate, Yes,4200000,8900000,14,796, Approved,Female,28
4, Graduate, No,3800000,8500000,10,416, Rejected,Male,49
3, Graduate, No,3200000,8200000,8,311, Rejected,Female,25
1, Graduate, No,9700000,33900000,10,833, Approved,Female,26
1, Not Graduate, Yes,4300000,9400000,6,543, Rejected,Male,42
5, Graduate, Yes,8100000,20300000,18,751, Approved,Male,29
5, Not Graduate, Yes,9400000,23200000,14,885, Approved,Female,20
4, Not Graduate, Yes,8100000,19400000,6,346, Rejected,Female,57
4, Graduate, No,6500000,14500000,4,588, Approved,Male,31
2, Graduate, No,9400000,23100000,4,488, Rejected,Female,47
1, Not Graduate, Yes,2600000,6600000,20,765, Approved,Female,27
3, Not Graduate, Yes,8000000,25600000,6,337, Rejected,Male,21
1, Graduate, No,4700000,9300000,8,515, Rejected,Female,54
2, Graduate, Yes,7600000,22300000,12,555, Approved,Male,52
1, Graduate, Yes,6800000,27200000,2,702, Approved,Male,29
2, Not Graduate, Yes,6600000,17000000,2,457, Rejected,Female,57
2, Graduate, No,8200000,27200000,10,425, Rejected,Male,39
1, Graduate, Yes,4400000,12300000,6,583, Approved,Female,32
1, Not Graduate, No,8300000,29200000,6,877, Approved,Female,43
0, Graduate, No,9200000,36500000,14,522, Rejected,Male,47
5, Not Graduate, Yes,2700000,8700000,20,687, Approved,Female,60
0, Graduate, No,6100000,23600000,20,856, Approved,Male,22
4, Not Graduate, Yes,9100000,33000000,8,543, Rejected,Female,22
5, Not Graduate, Yes,7600000,15400000,14,576, Approved,Female,69
2, Not Graduate, No,7200000,17000000,10,856, Approved,Male,30
0, Graduate, Yes,2600000,8200000,8,722, Approved,Female,44
4, Graduate, Yes,6500000,20200000,12,653, Approved,Female,45
5, Graduate, No,8900000,35500000,16,480, Rejected,Female,32
2, Graduate, Yes,5400000,14300000,14,477, Rejected,Male,32
0, Graduate, No,300000,500000,2,885, Approved,Female,44
0, Not Graduate, No,8400000,19600000,18,530, Rejected,Female,26
3, Graduate, No,8300000,17200000,8,870, Approved,Female,22
4, Not Graduate, No,1700000,5600000,8,395, Rejected,Male,44
2, Not Graduate, No,1500000,4200000,16,771, Approved,Female,29
1, Not Graduate, Yes,200000,500000,2,579, Approved,Female,53
1, Graduate, Yes,1000000,3700000,14,798, Approved,Male,26
3, Not Graduate, Yes,8800000,25100000,8,473, Rejected,Male,32
0, Graduate, Yes,1000000,3200000,8,304, Rejected,Male,38
0, Not Graduate, Yes,8600000,23000000,14,678, Approved,Female,63
5, Graduate, Yes,2400000,8900000,2,745, Approved,Female,34
1, Graduate, No,2400000,8900000,8,835, Approved,Male,30
5, Not Graduate, Yes,6000000,12100000,20,848, Approved,Male,30
5, Not Graduate, No,7600000,16300000,18,872, Approved,Female,30
3, Not Graduate, No,8000000,20100000,10,608, Approved,Female,56
0, Graduate, Yes,5400000,19500000,16,758, Approved,Female,33
0, Not Graduate, Yes,1400000,3700000,4,841, Approved,Male,28
0, Not Graduate, Yes,800000,2600000,2,618, Approved,Male,20
4, Graduate, Yes,300000,1100000,4,457, Approved,Female,46
0, Graduate, No,4100000,14400000,4,844, Approved,Female,38
2, Not Graduate, No,1500000,3800000,4,776, Approved,Male,49
1, Not Graduate, No,4600000,13900000,8,520, Rejected,Female,37
1, Graduate, Yes,3300000,7500000,12,648, Approved,Male,25
4, Not Graduate, Yes,7900000,31400000,10,654, Approved,Male,20
0, Not Graduate, No,8100000,26500000,20,342, Rejected,Female,53
5, Not Graduate, No,900000,2800000,16,808, Approved,Male,36
1, Graduate, Yes,4900000,15200000,10,429, Rejected,Male,52
3, Graduate, Yes,6100000,18100000,14,538, Rejected,Male,48
3, Not Graduate, No,4500000,16400000,6,533, Rejected,Female,22
2, Graduate, Yes,2900000,7300000,8,394, Rejected,Male,44
1, Not Graduate, No,7900000,29300000,2,771, Approved,Male,25
5, Graduate, Yes,4100000,10100000,4,792, Approved,Female,31
5, Not Graduate, Yes,7700000,15500000,8,407, Rejected,Female,68
0, Not Graduate, No,5600000,19300000,18,544, Rejected,Female,20
5, Graduate, No,9000000,18000000,18,509, Rejected,Female,31
4, Not Graduate, Yes,6400000,18400000,16,320, Rejected,Female,26
4, Graduate, No,6900000,14700000,2,496, Rejected,Male,28
3, Not Graduate, No,9100000,27400000,18,652, Approved,Male,23
2, Graduate, Yes,1100000,3700000,2,806, Approved,Male,55
4, Not Graduate, No,1700000,4500000,12,821, Approved,Female,41
5, Graduate, Yes,9200000,28800000,20,618, Approved,Male,57
2, Not Graduate, Yes,8300000,20600000,12,729, Approved,Male,49
5, Not Graduate, Yes,5000000,10600000,6,839, Approved,Male,49
3, Graduate, No,2200000,6400000,2,318, Rejected,Male,37
2, Graduate, No,4500000,9600000,16,404, Rejected,Male,21
5, Not Graduate, Yes,4100000,9000000,6,581, Approved,Male,32
1, Not Graduate, No,2800000,6800000,18,596, Approved,Male,61
1, Not Graduate, No,6600000,20700000,4,415, Approved,Male,35
3, Not Graduate, Yes,3200000,7200000,6,728, Approved,Male,22
0, Not Graduate, No,6300000,13300000,2,666, Approved,Male,24
2, Graduate, No,4700000,17700000,14,675, Approved,Female,64
0, Graduate, No,4100000,15400000,16,304, Rejected,Female,47
5, Graduate, Yes,7100000,15500000,4,474, Rejected,Male,47
4, Graduate, Yes,4900000,10200000,18,370, Rejected,Female,58
4, Graduate, No,5600000,20300000,20,596, Approved,Female,54
4, Graduate, No,3400000,8300000,2,567, Approved,Female,27
3, Not Graduate, No,4500000,16100000,16,671, Approved,Female,28
2, Graduate, No,300000,800000,18,819, Approved,Male,29
5, Not Graduate, Yes,7600000,23000000,10,829, Approved,Female,54
5, Graduate, No,500000,1200000,12,454, Rejected,Male,52
0, Graduate, Yes,5900000,15200000,16,399, Rejected,Female,22
0, Graduate, No,7100000,20700000,10,784, Approved,Male,40
2, Not Graduate, Yes,8500000,26900000,6,538, Rejected,Female,24
0, Graduate, Yes,6400000,16900000,16,759, Approved,Female,38
2, Graduate, No,7100000,21400000,12,699, Approved,Female,74
5, Not Graduate, No,1800000,5400000,14,347, Rejected,Female,65
3, Not Graduate, Yes,6600000,25200000,20,598, Approved,Male,21
4, Graduate, Yes,8800000,27100000,2,406, Approved,Male,30
2, Not Graduate, No,4800000,15800000,20,860, Approved,Female,25
5, Graduate, Yes,4400000,16500000,10,806, Approved,Female,69
0, Not Graduate, No,2000000,6900000,2,448, Approved,Female,79
2, Graduate, No,6800000,22600000,20,393, Rejected,Male,23
5, Not Graduate, Yes,6600000,16000000,12,811, Approved,Male,27
2, Graduate, No,3300000,7900000,20,829, Approved,Female,54
3, Not Graduate, No,7400000,23400000,16,700, Approved,Female,42
0, Not Graduate, Yes,4500000,12400000,18,719, Approved,Female,45
1, Not Graduate, Yes,9500000,30500000,12,430, Rejected,Male,62
1, Graduate, No,800000,3000000,4,338, Approved,Female,61
2, Graduate, No,4000000,13000000,4,695, Approved,Male,40
2, Not Graduate, No,7000000,25700000,18,374, Rejected,Female,51
3, Graduate, No,3500000,8500000,18,609, Approved,Male,66
3, Graduate, Yes,9700000,36000000,6,631, Approved,Female,52
0, Not Graduate, No,3400000,10800000,6,439, Rejected,Male,35
1, Graduate, Yes,4600000,13500000,20,837, Approved,Female,20
4, Graduate, No,3800000,10400000,10,833, Approved,Female,47
4, Not Graduate, Yes,4200000,9600000,20,863, Approved,Female,36
2, Graduate, No,2500000,8700000,4,684, Approved,Male,32
0, Not Graduate, Yes,7000000,24600000,6,542, Rejected,Female,35
1, Not Graduate, No,5300000,11500000,8,753, Approved,Male,29
0, Not Graduate, No,6400000,14200000,2,512, Rejected,Male,76
3, Not Graduate, No,3400000,8100000,12,385, Rejected,Male,23
4, Not Graduate, No,6700000,18800000,2,749, Approved,Male,27
1, Not Graduate, Yes,4600000,10100000,4,618, Approved,Male,22
4, Graduate, Yes,900000,2500000,4,583, Approved,Female,22
0, Graduate, No,5100000,19900000,18,655, Approved,Female,32
0, Not Graduate, Yes,7000000,20900000,20,380, Rejected,Female,23
3, Graduate, Yes,4100000,14700000,6,679, Approved,Female,46
2, Graduate, No,4600000,14800000,6,410, Rejected,Male,30
2, Graduate, Yes,3600000,11500000,8,590, Approved,Male,35
5, Graduate, No,5900000,13800000,14,397, Rejected,Male,56
2, Graduate, No,600000,2100000,16,425, Rejected,Female,25
0, Graduate, No,4900000,16400000,2,383, Approved,Female,40
5, Graduate, Yes,6400000,23900000,6,406, Rejected,Male,59
2, Graduate, No,7000000,19800000,10,563, Approved,Female,37
3, Graduate, Yes,6700000,13400000,14,782, Approved,Female,36
1, Not Graduate, Yes,800000,2200000,4,852, Approved,Male,34
5, Not Graduate, No,7600000,27800000,2,753, Approved,Male,26
5, Graduate, Yes,3200000,7600000,4,489, Rejected,Male,32
2, Not Graduate, Yes,4900000,13800000,2,586, Approved,Male,39
3, Not Graduate, No,7200000,20800000,16,560, Approved,Female,64
3, Graduate, No,5600000,20600000,6,487, Rejected,Male,34
4, Graduate, Yes,7300000,18300000,8,434, Rejected,Male,68
4, Not Graduate, No,3300000,7000000,20,504, Rejected,Male,51
2, Graduate, Yes,9200000,25300000,4,827, Approved,Female,45
3, Not Graduate, Yes,8100000,23300000,20,657, Approved,Male,24
5, Graduate, No,6600000,21400000,10,447, Rejected,Female,21
0, Graduate, Yes,4200000,13600000,4,834, Approved,Female,20
2, Graduate, No,5800000,21700000,8,354, Rejected,Female,46
2, Graduate, Yes,5600000,21000000,18,883, Approved,Male,32
0, Not Graduate, Yes,3600000,9900000,12,641, Approved,Female,41
1, Graduate, Yes,7700000,16900000,6,621, Approved,Male,22
0, Graduate, Yes,7800000,23300000,10,587, Approved,Female,31
3, Not Graduate, No,5700000,15400000,16,424, Rejected,Male,26
5, Graduate, No,6300000,20500000,14,515, Rejected,Female,43
5, Not Graduate, Yes,2300000,4700000,18,592, Approved,Male,44
4, Graduate, Yes,9600000,19900000,6,319, Rejected,Female,74
1, Not Graduate, Yes,1000000,3900000,16,360, Rejected,Male,33
5, Graduate, Yes,7200000,27100000,12,535, Rejected,Female,52
2, Not Graduate, Yes,3800000,11400000,16,666, Approved,Male,22
4, Not Graduate, Yes,9300000,24600000,16,419, Rejected,Female,79
2, Not Graduate, Yes,7200000,21900000,12,640, Approved,Female,22
0, Graduate, No,7600000,19700000,12,545, Rejected,Female,25
4, Graduate, No,4500000,15300000,10,843, Approved,Male,30
1, Not Graduate, Yes,9900000,30900000,20,559, Approved,Female,34
0, Not Graduate, Yes,700000,2000000,18,650, Approved,Male,34
0, Graduate, No,3500000,12300000,16,479, Rejected,Female,22
1, Graduate, Yes,300000,1000000,14,324, Rejected,Male,20
5, Not Graduate, Yes,5400000,16700000,2,354, Approved,Male,40
4, Not Graduate, Yes,2800000,8400000,10,521, Rejected,Male,22
5, Not Graduate, Yes,4900000,15900000,8,505, Rejected,Male,25
4, Not Graduate, No,600000,1700000,12,436, Rejected,Male,51
0, Graduate, No,3000000,8100000,6,683, Approved,Female,33
0, Graduate, No,1800000,5800000,18,348, Rejected,Male,38
4, Graduate, Yes,5100000,15700000,6,867, Approved,Female,47
5, Graduate, No,1400000,4100000,14,880, Approved,Female,73
2, Graduate, Yes,6700000,25500000,10,673, Approved,Male,22
3, Not Graduate, No,4300000,12600000,18,482, Rejected,Female,37
3, Graduate, Yes,7800000,19600000,4,767, Approved,Male,26
3, Not Graduate, No,5400000,15800000,18,760, Approved,Female,43
0, Not Graduate, No,500000,1900000,2,857, Approved,Male,64
1, Graduate, No,8600000,26700000,10,735, Approved,Female,57
3, Graduate, No,2500000,9300000,4,810, Approved,Male,31
4, Not Graduate, No,3000000,7200000,2,680, Approved,Male,53
5, Not Graduate, Yes,7000000,26900000,4,889, Approved,Male,20
1, Not Graduate, Yes,400000,1500000,16,688, Approved,Female,40
5, Not Graduate, No,5200000,13700000,16,531, Rejected,Male,64
3, Graduate, No,3300000,11100000,2,660, Approved,Male,53
1, Not Graduate, Yes,2400000,8800000,18,414, Rejected,Male,71
4, Graduate, Yes,5800000,15800000,14,528, Rejected,Female,42
4, Not Graduate, Yes,9400000,20000000,12,817, Approved,Male,44
2, Not Graduate, No,6100000,15300000,2,799, Approved,Female,37
1, Graduate, Yes,7500000,21400000,20,655, Approved,Female,23
2, Not Graduate, No,4100000,16200000,6,546, Rejected,Male,50
3, Not Graduate, No,8500000,30800000,14,745, Approved,Male,21
0, Graduate, No,4300000,16900000,8,884, Approved,Female,26
5, Not Graduate, No,9300000,22000000,4,822, Approved,Female,43
4, Not Graduate, No,6000000,18700000,2,623, Approved,Female,72
1, Not Graduate, Yes,5300000,18900000,16,361, Rejected,Male,23
5, Not Graduate, Yes,7400000,16200000,2,778, Approved,Male,35
1, Not Graduate, Yes,1100000,3800000,8,779, Approved,Female,49
1, Graduate, Yes,6600000,20700000,4,594, Approved,Male,75
3, Graduate, No,8200000,28300000,2,530, Approved,Male,27
3, Not Graduate, No,3300000,9300000,12,324, Rejected,Female,31
4, Graduate, Yes,2500000,9000000,10,394, Rejected,Male,62
3, Graduate, Yes,3300000,10400000,12,816, Approved,Female,63
5, Not Graduate, No,1000000,2300000,16,423, Rejected,Female,48
5, Graduate, Yes,6200000,12800000,2,539, Rejected,Female,23
1, Graduate, No,7000000,21000000,20,554, Approved,Female,49
2, Graduate, Yes,7000000,19000000,6,523, Rejected,Female,50
1, Not Graduate, Yes,5300000,12000000,10,852, Approved,Female,53
0, Not Graduate, Yes,1800000,3700000,2,505, Rejected,Male,20
0, Graduate, Yes,2300000,7900000,10,430, Rejected,Male,24
2, Graduate, No,4000000,9200000,16,784, Approved,Female,39
1, Not Graduate, No,8900000,24000000,6,380, Rejected,Female,30
3, Graduate, No,8000000,18600000,20,565, Approved,Male,41
4, Graduate, Yes,7900000,26900000,14,446, Rejected,Female,53
5, Graduate, Yes,6700000,20200000,8,406, Rejected,Male,72
4, Not Graduate, No,2400000,6000000,6,712, Approved,Female,24
4, Not Graduate, No,8600000,22600000,14,729, Approved,Male,24
1, Not Graduate, Yes,5300000,14600000,20,508, Rejected,Female,29
0, Graduate, No,7400000,24900000,20,648, Approved,Male,64
0, Not Graduate, Yes,8700000,18700000,10,346, Rejected,Female,39
5, Graduate, No,8200000,18500000,4,394, Rejected,Male,44
0, Not Graduate, Yes,3700000,9700000,12,501, Rejected,Male,31
5, Not Graduate, Yes,9200000,36300000,2,655, Approved,Female,24
4, Not Graduate, No,6100000,20900000,4,662, Approved,Male,40
2, Graduate, Yes,8800000,30800000,20,820, Approved,Male,38
5, Not Graduate, No,9200000,18900000,10,521, Rejected,Female,58
3, Graduate, No,7200000,27900000,12,473, Rejected,Female,41
1, Graduate, No,600000,1200000,10,561, Approved,Male,42
5, Graduate, No,8000000,23100000,20,461, Rejected,Male,28
4, Graduate, Yes,6900000,13800000,16,715, Approved,Female,23
0, Not Graduate, Yes,4300000,15600000,18,440, Rejected,Female,52
3, Not Graduate, Yes,8500000,24900000,18,749, Approved,Female,37
4, Not Graduate, No,8600000,17400000,2,787, Approved,Female,49
3, Graduate, No,6300000,13900000,18,748, Approved,Female,39
3, Not Graduate, Yes,5800000,13600000,12,321, Rejected,Female,24
3, Graduate, Yes,1000000,2300000,10,303, Rejected,Female,20
0, Not Graduate, Yes,1700000,5400000,8,682, Approved,Male,26
2, Not Graduate, No,3200000,8600000,18,638, Approved,Male,61
0, Graduate, Yes,7500000,16600000,14,440, Rejected,Female,27
1, Not Graduate, Yes,2000000,6600000,10,873, Approved,Female,25
3, Not Graduate, No,9100000,19700000,20,437, Rejected,Female,63
4, Graduate, Yes,8400000,19700000,8,796, Approved,Female,68
4, Graduate, No,7100000,27200000,16,824, Approved,Female,20
2, Not Graduate, No,200000,800000,6,338, Rejected,Female,28
0, Not Graduate, Yes,5000000,14900000,12,575, Approved,Male,40
0, Not Graduate, Yes,4500000,16900000,8,773, Approved,Female,24
2, Not Graduate, Yes,5100000,19700000,2,733, Approved,Female,27
3, Graduate, Yes,4100000,10600000,14,475, Rejected,Female,27
1, Not Graduate, No,7200000,15000000,10,677, Approved,Female,34
3, Not Graduate, No,7800000,17700000,6,403, Rejected,Female,63
3, Graduate, Yes,7500000,25300000,12,767, Approved,Male,26
3, Graduate, Yes,6400000,21000000,2,813, Approved,Male,30
4, Graduate, No,7000000,25700000,20,597, Approved,Male,22
4, Not Graduate, Yes,9000000,31100000,8,896, Approved,Female,30
2, Not Graduate, Yes,4400000,13900000,6,810, Approved,Male,43
2, Not Graduate, No,900000,2000000,14,337, Rejected,Male,27
1, Graduate, No,9800000,26900000,18,792, Approved,Male,40
4, Not Graduate, No,600000,1600000,6,784, Approved,Male,47
5, Graduate, Yes,9700000,30100000,12,434, Rejected,Male,75
2, Graduate, Yes,8400000,32600000,10,384, Rejected,Female,43
1, Graduate, No,8300000,24900000,10,642, Approved,Male,79
4, Graduate, No,7900000,29900000,8,314, Rejected,Male,40
1, Not Graduate, No,8600000,25900000,2,606, Approved,Male,57
5, Not Graduate, Yes,6700000,17600000,14,843, Approved,Female,21
0, Graduate, No,2700000,7400000,10,778, Approved,Female,36
0, Not Graduate, No,6600000,25600000,8,718, Approved,Female,40
1, Graduate, Yes,7100000,20800000,20,437, Rejected,Female,32
5, Graduate, Yes,300000,700000,10,586, Approved,Male,25
2, Graduate, No,2200000,7000000,6,777, Approved,Female,76
1, Graduate, Yes,8700000,31700000,12,525, Rejected,Female,44
4, Graduate, No,7200000,23100000,12,632, Approved,Female,33
0, Not Graduate, No,2000000,4800000,20,337, Rejected,Male,32
4, Graduate, Yes,8600000,27900000,8,458, Rejected,Male,44
2, Graduate, Yes,2300000,5400000,8,364, Rejected,Male,21
2, Not Graduate, Yes,9600000,29800000,16,499, Rejected,Female,20
2, Graduate, Yes,1900000,6500000,16,887, Approved,Female,29
1, Graduate, No,2100000,6300000,16,882, Approved,Male,35
1, Not Graduate, Yes,3900000,8700000,8,817, Approved,Male,32
5, Not Graduate, Yes,200000,300000,10,704, Approved,Male,28
1, Not Graduate, Yes,1900000,4500000,12,742, Approved,Female,71
0, Not Graduate, Yes,3200000,11600000,4,393, Approved,Male,20
0, Not Graduate, No,1100000,4300000,18,828, Approved,Female,28
5, Graduate, Yes,8000000,21500000,12,779, Approved,Male,40
4, Graduate, Yes,6100000,21700000,6,860, Approved,Male,36
5, Graduate, No,3200000,10600000,2,432, Approved,Female,61
4, Graduate, Yes,9000000,30400000,20,532, Rejected,Male,26
0, Not Graduate, Yes,1200000,3200000,2,678, Approved,Female,25
3, Graduate, No,7900000,27000000,6,601, Approved,Male,26
3, Graduate, Yes,7700000,23100000,8,807, Approved,Male,69
2, Not Graduate, No,4400000,16500000,16,879, Approved,Female,50
1, Not Graduate, No,3100000,11200000,18,665, Approved,Female,23
5, Not Graduate, Yes,2600000,9300000,16,697, Approved,Male,22
4, Graduate, No,5500000,21700000,14,867, Approved,Male,22
1, Graduate, No,5700000,15500000,8,544, Rejected,Female,26
5, Graduate, No,6100000,20700000,20,482, Rejected,Male,21
2, Graduate, No,8200000,22500000,18,857, Approved,Female,69
1, Graduate, No,6000000,21200000,12,549, Rejected,Female,27
1, Graduate, Yes,8000000,30600000,10,720, Approved,Female,22
4, Not Graduate, No,2000000,4800000,8,302, Rejected,Male,54
5, Graduate, Yes,1300000,2900000,12,669, Approved,Male,33
1, Graduate, No,7000000,27100000,6,591, Approved,Male,37
3, Graduate, No,4100000,15300000,6,440, Rejected,Male,30
3, Graduate, No,8000000,26200000,16,890, Approved,Female,43
4, Not Graduate, No,8100000,28000000,8,663, Approved,Female,27
4, Graduate, Yes,9500000,22600000,14,433, Rejected,Male,77
0, Graduate, No,9200000,22500000,10,317, Rejected,Female,46
2, Graduate, No,3900000,14700000,16,360, Rejected,Male,69
1, Graduate, No,9100000,26200000,8,727, Approved,Female,77
3, Graduate, Yes,3000000,8300000,4,685, Approved,Male,29
4, Graduate, No,2000000,4300000,8,373, Rejected,Male,29
5, Graduate, No,6300000,14600000,8,469, Rejected,Male,33
3, Not Graduate, Yes,4100000,10900000,8,548, Rejected,Male,57
0, Not Graduate, No,9800000,29400000,20,618, Approved,Male,54
2, Graduate, No,5200000,15400000,8,658, Approved,Female,21
3, Graduate, No,7600000,28700000,18,781, Approved,Male,61
3, Not Graduate, No,9200000,35500000,2,715, Approved,Male,36
5, Not Graduate, No,2200000,8100000,4,409, Rejected,Male,33
2, Not Graduate, Yes,8300000,20600000,10,504, Rejected,Female,25
3, Graduate, Yes,6100000,21600000,16,428, Rejected,Female,63
2, Graduate, No,4500000,16600000,20,704, Approved,Female,55
3, Not Graduate, No,6600000,18800000,12,834, Approved,Male,20
4, Not Graduate, No,8900000,34900000,14,694, Approved,Female,49
4, Graduate, Yes,3900000,13300000,20,453, Rejected,Male,63
3, Graduate, Yes,8900000,35400000,14,404, Rejected,Male,65
5, Not Graduate, No,6400000,22300000,12,776, Approved,Female,42
1, Not Graduate, Yes,9500000,28700000,16,526, Rejected,Male,78
3, Graduate, Yes,300000,1000000,8,641, Approved,Female,24
5, Not Graduate, No,4100000,12300000,6,582, Approved,Female,27
2, Graduate, No,8100000,20800000,18,778, Approved,Female,53
4, Graduate, No,9900000,28400000,10,763, Approved,Female,72
0, Not Graduate, No,4800000,19000000,12,650, Approved,Male,46
0, Graduate, Yes,2900000,9700000,2,820, Approved,Female,70
1, Not Graduate, Yes,3500000,13500000,12,824, Approved,Male,52
1, Not Graduate, Yes,4900000,12600000,4,718, Approved,Male,29
2, Not Graduate, Yes,5100000,13300000,14,313, Rejected,Female,48
5, Graduate, No,7300000,26200000,10,751, Approved,Female,73
0, Graduate, Yes,200000,300000,18,520, Rejected,Male,24
2, Graduate, No,1400000,4700000,4,355, Approved,Male,70
3, Graduate, Yes,8700000,33600000,14,314, Rejected,Female,73
1, Not Graduate, Yes,2800000,5900000,20,728, Approved,Female,51
3, Graduate, Yes,9100000,30100000,14,564, Approved,Male,34
0, Not Graduate, Yes,6800000,15300000,14,699, Approved,Male,48
0, Not Graduate, Yes,5000000,17000000,6,624, Approved,Male,61
0, Graduate, Yes,4400000,16800000,14,795, Approved,Male,61
5, Not Graduate, Yes,8400000,18600000,20,703, Approved,Female,24
4, Graduate, No,7800000,17300000,4,394, Rejected,Male,42
4, Graduate, Yes,4800000,9900000,14,779, Approved,Female,56
1, Graduate, No,3200000,8800000,4,405, Rejected,Female,33
5, Graduate, Yes,2300000,6700000,16,612, Approved,Female,49
5, Not Graduate, Yes,9200000,28100000,10,448, Rejected,Female,27
2, Not Graduate, Yes,4700000,13700000,6,506, Rejected,Male,49
0, Not Graduate, Yes,8000000,30400000,2,776, Approved,Male,49
1, Graduate, Yes,2600000,8600000,6,730, Approved,Male,28
3, Not Graduate, No,200000,800000,20,730, Approved,Female,40
5, Graduate, No,7300000,17200000,2,345, Rejected,Male,69
4, Not Graduate, No,3300000,11800000,2,847, Approved,Male,60
4, Not Graduate, No,8300000,23300000,20,398, Rejected,Female,47
5, Not Graduate, Yes,4100000,9600000,2,307, Rejected,Female,49
1, Not Graduate, No,7300000,23700000,16,852, Approved,Male,36
1, Not Graduate, No,9300000,27500000,6,364, Rejected,Male,39
2, Graduate, Yes,4300000,15200000,12,552, Approved,Female,72
3, Not Graduate, No,2600000,8100000,2,421, Approved,Male,31
5, Graduate, No,2900000,9800000,12,588, Approved,Female,22
2, Graduate, Yes,900000,3500000,6,763, Approved,Male,20
3, Not Graduate, Yes,4900000,17500000,20,823, Approved,Male,21
0, Graduate, No,7700000,24800000,10,642, Approved,Female,51
1, Graduate, No,4700000,16800000,12,647, Approved,Male,21
5, Not Graduate, No,3000000,8900000,20,886, Approved,Male,20
4, Not Graduate, No,9700000,26200000,4,518, Rejected,Male,35
0, Graduate, Yes,6900000,26800000,20,515, Rejected,Female,30
2, Not Graduate, Yes,3800000,12400000,8,340, Rejected,Male,40
3, Not Graduate, Yes,600000,1700000,14,521, Rejected,Male,22
2, Not Graduate, Yes,1200000,2900000,12,330, Rejected,Male,41
4, Not Graduate, Yes,7800000,26800000,2,474, Approved,Male,42
0, Not Graduate, No,9000000,35100000,6,898, Approved,Male,42
1, Not Graduate, No,2800000,9100000,12,436, Rejected,Male,74
1, Not Graduate, No,7800000,21300000,10,326, Rejected,Male,36
4, Graduate, Yes,4700000,9500000,18,876, Approved,Female,43
2, Graduate, No,4600000,17500000,20,597, Approved,Male,24
4, Graduate, No,5100000,16100000,14,436, Rejected,Male,38
3, Not Graduate, Yes,6100000,22800000,18,640, Approved,Male,41
0, Not Graduate, No,6000000,22900000,16,302, Rejected,Male,28
2, Not Graduate, No,8400000,23200000,16,476, Rejected,Male,58
2, Graduate, No,9300000,22000000,14,393, Rejected,Female,34
